inputurl,id,type,shortcode,caption,url,commentscount,dimensionsheight,dimensionswidth,displayurl,videourl,alt,likescount,videoviewcount,videoplaycount,timestamp,locationname,locationid,ownerfullname,ownerusername,ownerid,producttype,videoduration,issponsored
https://www.instagram.com/tarcirleidebrito,3311311980608697139,Video,C30JLPIrTMz,Sem Denúncias e sem escândalo de corrupção! #políticalocal #teofilootoni,https://www.instagram.com/p/C30JLPIrTMz/,32,1333,750,https://instagram.fhan17-1.fna.fbcdn.net/v/t51.2885-15/429885010_389760403778162_3768913402884697346_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fhan17-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=sq2zTIhGv1wAX-FLAVE&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCknU1n9ljzJL35vCujrb3VniWaoaPTda3bwmT8CP5c1w&oe=65E0A094&_nc_sid=2999b8,https://instagram.fhan17-1.fna.fbcdn.net/v/t66.30100-16/333799428_3671700923106333_4543168252518861831_n.mp4?_nc_ht=instagram.fhan17-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=go1i1QBWOjsAX8qy3Rw&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBxcf0Ld9ZDzg2rLF83Nkf-JCcuWSaMpHYPrZCfDpSr-A&oe=65E07687&_nc_sid=2999b8,,142,1381.0,4500.0,2024-02-26T14:55:19.000Z,Teófilo Otoni - Vale Do Mucuri - Minas Gerais,302867447075511,Papo de Alphas Podcast,papodealphas,37819424615,clips,23.766,False
https://www.instagram.com/tarcirleidebrito,3311544739433407725,Video,C30-GUrveTt,"Não vai fugir desse assunto né!? 🚫

 🦟Falar sobre a dengue é muito importante, pois os casos estão aumentando diariamente em todo país.

🤝Conto com a ajuda de vocês para nos ajudar a combater esse mosquito!",https://www.instagram.com/p/C30-GUrveTt/,39,1333,750,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/430016264_433081362385965_8807507595208991797_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=I7WTOpAtn9sAX-rprbM&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDCH3KLUBFwvF-tcl1c8wcVjoJFzRg6PHqgR-gadznQ3A&oe=65E08E35&_nc_sid=2999b8,https://scontent-ord5-2.cdninstagram.com/v/t66.30100-16/334202084_415404327634181_8353902758731917113_n.mp4?_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=105&_nc_ohc=VY6CTBJMQIwAX9as5uF&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfC_0ZVk3nMRL59zwdpgSb28e4zKJ7MQ0-5r4eVwAJ4LzA&oe=65E07BEB&_nc_sid=2999b8,,233,2950.0,6875.0,2024-02-26T22:43:47.000Z,,,Tarcirlei Mariniello de Brito,tarcirleidebrito,11164207918,clips,24.724,False
https://www.instagram.com/tarcirleidebrito,3309112136055293170,Sidecar,C3sU_SPgoTy,"🤝Que bom é chegar a Brasília e encontrar as portas abertas para poder fazer nossa cidade Avançar cada vez mais. Em um governo anterior as portas jamais se abriram para Teófilo Otoni, agora essa realidade mudou e seguimos trazendo benefícios para nosso município. 

🎯É importante para o Governo Municipal estar alinhado com a Presidência da República para garantir projetos que beneficiem a população local de forma mais eficiente.  Aproveito para agradecer a recepção do Ministro do Desenvolvimento Regional do Brasil Waldez Góes, ao Ministro das Relações Institucionais Alexandre Padilha, ao Deputado Leonardo Monteiro e todos aqueles parlamentares que se comprometem  em  cuidar de Teófilo Otoni junto a nós.",https://www.instagram.com/p/C3sU_SPgoTy/,30,1350,1080,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/429449881_945003086987086_5650023934554216135_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=SfJJ3rbjwSMAX_vCHsC&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfA3Uh53INrU1b10DCHJkHxELW6SFnN16AhyyzByqmm9pg&oe=65E45955&_nc_sid=2999b8,,,417,,,2024-02-23T14:02:08.000Z,Brasilia-DF,235056754,Daniel Sucupira,danielsucupira,1458298429,,,False
https://www.instagram.com/lucasmiglio,3312149886127872476,Image,C33HsXdgJnc,"💬 Terça-feira produtiva na Assembleia Legislativa de Minas Gerais, dialogando sobre as demandas de Teófilo Otoni com o Deputado Estadual Coronel Sandro e seu Assessor Filipe Costa. 

🚀 Juntos, buscamos sempre o melhor para nossa cidade! Conversamos sobre os projetos em andamento e novas oportunidades de desenvolvimento. 

A mudança na política requer diálogo com todos os Deputados, unidos pelo mesmo objetivo: o avanço de Teófilo Otoni!

#TeófiloOtoni #Desenvolvimento #ALMG #LucasMiglio",https://www.instagram.com/p/C33HsXdgJnc/,10,720,1080,https://scontent-iad3-1.cdninstagram.com/v/t39.30808-6/429846895_18420073633024634_5874538954637099471_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=n8aOreNlo-8AX9zxPh6&edm=AP_V10EAAAAA&ccb=7-5&oh=00_AfAVwbPgyp3CzsyKLmtpKHjYNDa3I_wtbcnD1c4emEOlIw&oe=65E35B16&_nc_sid=2999b8,,"Photo by Lucas Miglio in Belo Horizonte, Brazil with @coronelsandro.mg, and @filipecosta.to. May be an image of 3 people, newsroom, office and text.",84,,,2024-02-27T18:37:36.000Z,"Belo Horizonte, Brazil",213255513,Lucas Miglio,lucasmiglio,188888633,,,False
https://www.instagram.com/lucasmiglio,3310027335549251855,Image,C3vlFMMPvEP,❤️,https://www.instagram.com/p/C3vlFMMPvEP/,27,1080,1080,https://instagram.fncl2-1.fna.fbcdn.net/v/t51.2885-15/429723855_402254762420114_3192617068074870114_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fncl2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=BgCK0EZiSqIAX8QKYw7&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBqaMFnnsscflJrW5SNut7l3GvxQP8Hk0lU04FFXVvZ-Q&oe=65E436AE&_nc_sid=2999b8,,"Photo shared by Thayane Dantas on February 24, 2024 tagging @lucasmiglio. May be an image of 2 people, hair, people smiling and top.",688,,,2024-02-24T20:20:28.000Z,,,Thayane Dantas,thayane.rec,321282734,,,False
https://www.instagram.com/tarcirleidebrito,3308626886593877779,Video,C3qmp-dvBcT,"Essa é uma história de heróis da vida real! 🦸‍♀️🦸‍♂️

⌚️Você já ouviu o dizer “lugar certo na hora certa”? Pois é, foi o que aconteceu na última terça-feira com os servidores da  Secretaria de Serviços Urbanos.

💬Na rua em que trabalhavam, um telhado desabou sobre dois idosos e uma mulher grávida. Sem hesitar, entraram no local imediatamente e os socorreram.

🦺Esse é apenas mais um exemplo do que nós sempre falamos: Defesa Civil somos todos nós",https://www.instagram.com/p/C3qmp-dvBcT/,122,1141,640,https://instagram.fgoa3-2.fna.fbcdn.net/v/t51.2885-15/392824387_909059294251644_1681784734052349045_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fgoa3-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=YS5wDDqSmz8AX8s-hN4&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDfo4XR4lHomOmmVW1oulLiBoLxrxjyS_3xE9uxvVuOvQ&oe=65E0C8BE&_nc_sid=2999b8,https://instagram.fgoa3-2.fna.fbcdn.net/v/t66.30100-16/10000000_660918212734293_9136531980445123844_n.mp4?_nc_ht=instagram.fgoa3-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=28T-vlcwqd4AX9t9e3T&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCl5jn_CWtypsASftHYBjnE45Hi8SFcIZp6DLrqrkxg9g&oe=65E07914&_nc_sid=2999b8,,356,2866.0,8080.0,2024-02-22T22:00:48.000Z,,,Tarcirlei Mariniello de Brito,tarcirleidebrito,11164207918,clips,68.166,False
https://www.instagram.com/mariaeugeniabiffi,3115084480578999815,Sidecar,Cs7ANSmPlYH,"Quer saber um pouquinho sobre mim?! Deslize e confira!

E aí, se identificou comigo?

#politica #cultura #politicaspublicas #ribeiraopreto #quemsoueu",https://www.instagram.com/p/Cs7ANSmPlYH/,33,1080,1080,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-15/350701337_940406160408154_5722074326975341679_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=4L5lssfET1gAX-c4xGT&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDWegyKnN_ZVV001JGT5zQOZVswic4zkDllHn6yceVsbA&oe=65E41B0F&_nc_sid=2999b8,,,328,,,2023-05-31T21:03:49.000Z,,,Maria Eugênia Biffi,mariaeugeniabiffi,541628220,,,False
https://www.instagram.com/lucasmiglio,3310783328814014276,Image,C3yQ-VyPp9E,"Sabedoria não se apressa, ela se constrói com o passar do tempo, através da jornada da vida e da acumulação de experiências.

Ao meu lado, conto com dois homens que admiro e que posso afirmar serem importantes conselheiros nesta jornada: Fabinho Ramalho e Virgílio Guimarães. Agradeço pelos direcionamentos, meus amigos. 

#VoaAltoTeó ✈️",https://www.instagram.com/p/C3yQ-VyPp9E/,18,1080,1080,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/428705700_18419761693024634_6279548774365377152_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=fAehaLrH9pQAX9Ikuho&edm=AP_V10EAAAAA&ccb=7-5&oh=00_AfB9t4f_VEIe45OPScu9U3Ecj0DaHdQTxp5STd3d9hNimw&oe=65E34088&_nc_sid=2999b8,,"Photo by Lucas Miglio in Belo Horizonte, Brazil with @fabinhoramalhomg, and @virgilioguimaraesmg. May be an image of 2 people, pie, outdoors and text.",170,,,2024-02-25T21:22:30.000Z,"Belo Horizonte, Brazil",213255513,Lucas Miglio,lucasmiglio,188888633,,,False
https://www.instagram.com/mariaeugeniabiffi,3312144308821678518,Image,C33GbNMJdm2,"Espanha, 2024. Brasil, 2023. Essa é a realidade.

#futebol #violência #mulher",https://www.instagram.com/p/C33GbNMJdm2/,1,1080,1080,https://instagram.fnap5-2.fna.fbcdn.net/v/t39.30808-6/429661022_18414727363060221_5188438765179901308_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fnap5-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=JLqyjwzHL-AAX8DDGKW&edm=AP_V10EAAAAA&ccb=7-5&oh=00_AfCTzIu35eEaVmB-dN-BRo87QpDzC6UC41a3DNFy6EZZQA&oe=65E4C131&_nc_sid=2999b8,,"Photo by Maria Eugênia Biffi on February 27, 2024. May be a meme of 2 people and text that says 'Como o futebol lida com criminosos: Na Espanha No Brasil Barcelona exclui Daniel Alves de sua lista de lendas após condenação por estupro Goleiro Bruno é anunciado por time da várzea de São Paulo Orion Futebol Clube contrata jogador de 38 anos, ganhou condiciona após cumprir oito anos meses risão pelo assassinado da -model Eliza Samudio'.",52,,,2024-02-27T18:26:31.000Z,,,Maria Eugênia Biffi,mariaeugeniabiffi,541628220,,,False
https://www.instagram.com/mariaeugeniabiffi,3309808925380568047,Video,C3uza53uePv,"👀 Olha só essas curiosidades sobre a Conquista do Voto Feminino!👇

.
.
.
.
.

📄 A conquista do direito de voto às mulheres se deu em 1932, através de um decreto assinado pelo então presidente Getúlio Vargas. Mas foi somente nas eleições de 1934, após a Constituição promulgada naquele ano, que as mulheres foram de fato às urnas. Ainda assim, a participação política feminina era restrita: somente as mulheres casadas poderiam votar, desde que tivessem a autorização do marido. Somente em 1965 é que todas as mulheres alcançaram o direito de voto. 

🗳️ Alzira Soriano foi a primeira mulher eleita no país, vencendo a disputa para a prefeitura de Lages, no Rio Grande do Norte, em 1928. Seu mandato foi assegurado pela Justiça até a Revolução de 1930, quando perdeu o cargo por discordar das normas impostas pelo Governo Vargas. 

⚖️ 2002 foi o primeiro ano em que o eleitorado feminino superou o masculino: 50,9% contra 49,1%. Desde então, as o número de eleitoras tem crescido cada vez mais. Nas últimas eleições, em 2022, as mulheres bateram um novo recorde nesse sentido: foram 52,7% do público votante, enquanto os homens foram 47,5%. 

Que outras curiosidades e informações sobre a história do direito ao voto feminino você tem para compartilhar? Me conta nos comentários!

#votofeminino #política #igualdade #mulher",https://www.instagram.com/p/C3uza53uePv/,9,1920,1080,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/429370741_7143514529017285_255050056862588627_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=NVHgJD3Jbk0AX_V-W8_&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAo7do9TWUdwV2GB2wGK7INToJpSoLgdU3wTBe0FDdQ4A&oe=65E05EE2&_nc_sid=2999b8,https://scontent-dfw5-1.cdninstagram.com/v/t66.30100-16/10000000_1057873988770383_4343960815458669586_n.mp4?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=-IS6CjFrqnYAX9Rc9bB&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfA02koO46_VP5d7lbZelcpZ9DmtmAb1zT7H02W9xKpGtw&oe=65E04E44&_nc_sid=2999b8,,97,672.0,1856.0,2024-02-24T13:07:06.000Z,,,Maria Eugênia Biffi,mariaeugeniabiffi,541628220,clips,93.203,False
